Query,Target URL,Intent,Current position,Clicks,Impressions,CTR,Source/date,Notes
ai video editor for existing footage,https://vidrial.vercel.app/,commercial investigation,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
ai video clipper,https://vidrial.vercel.app/youtube-clipper,commercial investigation,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
youtube clip maker,https://vidrial.vercel.app/youtube-clipper,transactional,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
ai video editing features,https://vidrial.vercel.app/features,commercial investigation,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
ai video editing workflow,https://vidrial.vercel.app/how-it-works,informational,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
ai video editor pricing,https://vidrial.vercel.app/pricing,commercial investigation,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
explainable ai video editing,https://vidrial.vercel.app/ai-transparency,informational,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
private ai video editor,https://vidrial.vercel.app/security,commercial investigation,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
captions youtube shorts,https://vidrial.vercel.app/blog/add-captions-to-youtube-shorts-automatically,informational-commercial,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
ai vs manual video editing,https://vidrial.vercel.app/blog/ai-video-clipping-vs-manual-editing,informational-commercial,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
ai video editing beginners,https://vidrial.vercel.app/blog/ai-video-editing-for-beginners,informational,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
podcast to youtube shorts,https://vidrial.vercel.app/blog/clip-podcasts-for-youtube-shorts,informational-commercial,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
ai highlight detection,https://vidrial.vercel.app/blog/how-ai-finds-video-highlights,informational,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
long video into clips,https://vidrial.vercel.app/blog/how-many-shorts-from-one-long-video,informational-commercial,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
youtube video to shorts,https://vidrial.vercel.app/blog/how-to-turn-a-youtube-video-into-shorts,informational-commercial,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
long video to shorts,https://vidrial.vercel.app/blog/how-to-turn-long-videos-into-shorts-with-ai,informational-commercial,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
youtube shorts hooks,https://vidrial.vercel.app/blog/how-to-write-youtube-shorts-hooks,informational-commercial,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
video repurposing workflow,https://vidrial.vercel.app/blog/long-form-to-short-form-video-workflow,informational-commercial,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
long youtube video to shorts,https://vidrial.vercel.app/blog/make-youtube-shorts-from-long-videos-automatically,informational-commercial,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
convert 16:9 to 9:16,https://vidrial.vercel.app/blog/reframe-landscape-youtube-videos-into-vertical-shorts,informational-commercial,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
content repurposing,https://vidrial.vercel.app/blog/repurpose-one-video-into-a-week-of-content,informational-commercial,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
ai video clipper,https://vidrial.vercel.app/blog/what-is-an-ai-video-clipper,informational-commercial,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
youtube shorts posting frequency,https://vidrial.vercel.app/blog/youtube-shorts-posting-frequency,informational,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
youtube shorts seo,https://vidrial.vercel.app/blog/youtube-shorts-seo,informational-commercial,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
youtube shorts dimensions,https://vidrial.vercel.app/blog/youtube-shorts-size-length-resolution-aspect-ratio,informational,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
shorts vs long form,https://vidrial.vercel.app/blog/youtube-shorts-vs-long-form-video,informational-commercial,Not measured,Unavailable,Unavailable,Unavailable,GSC property processing; 2026-08-24,Baseline only; no ranking or traffic inferred
